112407	109132	114170
110940	108845	115088
109987	109687	115951
110148	107449	116587
110700	108830	117319
111501	109156	116785
110970	108766	115361
109953	108760	113983
108810	107462	114662
109340	107393	116897
111104	107737	118689
113083	106975	118698
114263	109540	117299
114665	111737	115754
115113	115700	113970
115635	116530	112072
115385	113474	110514
113595	108876	110568
111065	107541	111951
110452	108262	113521
113205	108114	113184
118013	98327	110621
121060	91389	106585
120628	88021	103832
117554	89058	103671
114855	85749	105858
114511	82228	108275
115901	79933	109402
117292	80460	109268
117139	83675	108695
116395	83839	108166
117413	85852	107857
120664	82910	107889
125937	82943	108802
129392	82858	110209
129436	82632	111402
124952	85127	111934
120231	82301	112037
118961	83291	111887
123327	85156	111027
129266	87383	109317
132362	86698	107739
129924	85040	107148
124769	86245	107530
120834	85528	107732
120019	85280	107718
122168	82919	108321
124656	87664	109656
125566	87324	110638
122669	97318	109799
117799	102305	108334
114464	115157	107689
115748	118413	109085
120627	124771	110543
126247	123761	110739
130205	125018	108861
132145	125457	106243
132769	129082	103807
133654	132032	102470
135605	132897	101964
138427	130970	101664
140175	129744	100067
139884	131429	97875
137500	137489	97328
135559	142046	101218
134559	139615	109081
134982	139806	117492
134672	140354	123348
134889	138733	126630
135665	138737	129042
137547	133241	131737
138900	133809	133737
138379	124356	133983
136617	124084	132954
134180	122143	131560
132726	124607	132560
132194	128344	135056
131724	136257	138256
131455	139390	138609
131169	130306	137013
133287	127233	134405
136952	134540	132922
141379	118554	132460
142998	143508	133806
141106	126555	136866
137049	148007	141246
134763	131351	144217
136106	130453	144862
139491	128842	142992
142084	135051	141537
141728	142313	141485
140760	139021	142439
139622	131205	142140
140420	133963	148868
140700	140625	143573
141115	140435	147044
140480	138502	141543
140436	140593	147339
140738	152189	144635
